"activity" "subject" "measurement" "statistic" "dimension" "value"
"357" "walking_downstairs" "train" "fBodyAccMag" "mean" "mag" 0.171065464344219
"358" "sitting" "train" "fBodyAccMag" "mean" "mag" -0.952673262657854
"359" "standing" "train" "fBodyAccMag" "mean" "mag" -0.958227593384279
"360" "laying" "train" "fBodyAccMag" "mean" "mag" -0.943950932251599
"361" "walking" "test" "fBodyBodyAccJerkMag" "mean" "mag" -0.200266603682944
"362" "walking_upstairs" "test" "fBodyBodyAccJerkMag" "mean" "mag" -0.355087381332696
"363" "walking_downstairs" "test" "fBodyBodyAccJerkMag" "mean" "mag" -0.0487443964492857
"364" "sitting" "test" "fBodyBodyAccJerkMag" "mean" "mag" -0.977173862342159
"365" "standing" "test" "fBodyBodyAccJerkMag" "mean" "mag" -0.965635777255639
"366" "laying" "test" "fBodyBodyAccJerkMag" "mean" "mag" -0.974611609068901
"367" "walking" "train" "fBodyBodyAccJerkMag" "mean" "mag" -0.220474636401958
"368" "walking_upstairs" "train" "fBodyBodyAccJerkMag" "mean" "mag" -0.353468006783504
"369" "walking_downstairs" "train" "fBodyBodyAccJerkMag" "mean" "mag" 0.027554426056359
"370" "sitting" "train" "fBodyBodyAccJerkMag" "mean" "mag" -0.979261088468118
"371" "standing" "train" "fBodyBodyAccJerkMag" "mean" "mag" -0.973202412219796
"372" "laying" "train" "fBodyBodyAccJerkMag" "mean" "mag" -0.9741812297086
"373" "walking" "test" "fBodyBodyGyroMag" "mean" "mag" -0.448021014490363
"374" "walking_upstairs" "test" "fBodyBodyGyroMag" "mean" "mag" -0.495846446322718
"375" "walking_downstairs" "test" "fBodyBodyGyroMag" "mean" "mag" -0.344731299676667
"376" "sitting" "test" "fBodyBodyGyroMag" "mean" "mag" -0.964803846456212
"377" "standing" "test" "fBodyBodyGyroMag" "mean" "mag" -0.935236448120301
"378" "laying" "test" "fBodyBodyGyroMag" "mean" "mag" -0.957813942756052
"379" "walking" "train" "fBodyBodyGyroMag" "mean" "mag" -0.393456402177055
"380" "walking_upstairs" "train" "fBodyBodyGyroMag" "mean" "mag" -0.429560837457409
"381" "walking_downstairs" "train" "fBodyBodyGyroMag" "mean" "mag" -0.266010319105811
"382" "sitting" "train" "fBodyBodyGyroMag" "mean" "mag" -0.964102259572317
"383" "standing" "train" "fBodyBodyGyroMag" "mean" "mag" -0.952814999133916
"384" "laying" "train" "fBodyBodyGyroMag" "mean" "mag" -0.953724931549396
"385" "walking" "test" "fBodyBodyGyroJerkMag" "mean" "mag" -0.53629723682746
"386" "walking_upstairs" "test" "fBodyBodyGyroJerkMag" "mean" "mag" -0.666239280021231
"387" "walking_downstairs" "test" "fBodyBodyGyroJerkMag" "mean" "mag" -0.472266338783095
"388" "sitting" "test" "fBodyBodyGyroJerkMag" "mean" "mag" -0.984435176130346
"389" "standing" "test" "fBodyBodyGyroJerkMag" "mean" "mag" -0.968115551522556
"390" "laying" "test" "fBodyBodyGyroJerkMag" "mean" "mag" -0.976359034581006
"391" "walking" "train" "fBodyBodyGyroJerkMag" "mean" "mag" -0.507109768565555
"392" "walking_upstairs" "train" "fBodyBodyGyroJerkMag" "mean" "mag" -0.655382609368593
"393" "walking_downstairs" "train" "fBodyBodyGyroJerkMag" "mean" "mag" -0.423414186458479
"394" "sitting" "train" "fBodyBodyGyroJerkMag" "mean" "mag" -0.985679431041991
"395" "standing" "train" "fBodyBodyGyroJerkMag" "mean" "mag" -0.97750742639738
"396" "laying" "train" "fBodyBodyGyroJerkMag" "mean" "mag" -0.978582414975124
"397" "walking" "test" "tBodyAcc" "std" "X" -0.319595856634677
"398" "walking_upstairs" "test" "tBodyAcc" "std" "X" -0.276529588909979
"399" "walking_downstairs" "test" "tBodyAcc" "std" "X" 0.00902022030214286
"400" "sitting" "test" "tBodyAcc" "std" "X" -0.983437472749491
"401" "standing" "test" "tBodyAcc" "std" "X" -0.982080518496241
"402" "laying" "test" "tBodyAcc" "std" "X" -0.964750344692737
"403" "walking" "train" "tBodyAcc" "std" "X" -0.312641276860938
"404" "walking_upstairs" "train" "tBodyAcc" "std" "X" -0.221072445907903
"405" "walking_downstairs" "train" "tBodyAcc" "std" "X" 0.139846824303926
"406" "sitting" "train" "tBodyAcc" "std" "X" -0.983449562153966
"407" "standing" "train" "tBodyAcc" "std" "X" -0.985346233195051
"408" "laying" "train" "tBodyAcc" "std" "X" -0.959475238302061
"409" "walking" "test" "tBodyAcc" "std" "Y" -0.031767626453629
"410" "walking_upstairs" "test" "tBodyAcc" "std" "Y" -0.0517638240820382
"411" "walking_downstairs" "test" "tBodyAcc" "std" "Y" 0.0134523978078571
"412" "sitting" "test" "tBodyAcc" "std" "Y" -0.9314033418778
"413" "standing" "test" "tBodyAcc" "std" "Y" -0.923457376973684
"414" "laying" "test" "tBodyAcc" "std" "Y" -0.958961259925512
"415" "walking" "train" "tBodyAcc" "std" "Y" -0.0202716892534421
"416" "walking_upstairs" "train" "tBodyAcc" "std" "Y" -0.000348031582171482
"417" "walking_downstairs" "train" "tBodyAcc" "std" "Y" 0.079183931731927
"418" "sitting" "train" "tBodyAcc" "std" "Y" -0.936208179940381
"419" "standing" "train" "tBodyAcc" "std" "Y" -0.936013307409025
"420" "laying" "train" "tBodyAcc" "std" "Y" -0.937608935448472
"421" "walking" "test" "tBodyAcc" "std" "Z" -0.342244602873911
"422" "walking_upstairs" "test" "tBodyAcc" "std" "Z" -0.255380107800849
"423" "walking_downstairs" "test" "tBodyAcc" "std" "Z" -0.243477099060119
"424" "sitting" "test" "tBodyAcc" "std" "Z" -0.938215184142566
"425" "standing" "test" "tBodyAcc" "std" "Z" -0.933595536629699
"426" "laying" "test" "tBodyAcc" "std" "Z" -0.964927132290503
"427" "walking" "train" "tBodyAcc" "std" "Z" -0.246279194916452
"428" "walking_upstairs" "train" "tBodyAcc" "std" "Z" -0.140363752818472
"429" "walking_downstairs" "train" "tBodyAcc" "std" "Z" -0.168367906550132
"430" "sitting" "train" "tBodyAcc" "std" "Z" -0.939274193888803
"431" "standing" "train" "tBodyAcc" "std" "Z" -0.942359763042212
"432" "laying" "train" "tBodyAcc" "std" "Z" -0.941635287283866
"433" "walking" "test" "tGravityAcc" "std" "X" -0.977866512903226
"434" "walking_upstairs" "test" "tGravityAcc" "std" "X" -0.95239939104034
"435" "walking_downstairs" "test" "tGravityAcc" "std" "X" -0.951956040880952
"436" "sitting" "test" "tGravityAcc" "std" "X" -0.981298906069246
"437" "standing" "test" "tGravityAcc" "std" "X" -0.987356506654135
"438" "laying" "test" "tGravityAcc" "std" "X" -0.947827229962756
"439" "walking" "train" "tGravityAcc" "std" "X" -0.977509136933116
"440" "walking_upstairs" "train" "tGravityAcc" "std" "X" -0.946344178769804
"441" "walking_downstairs" "train" "tGravityAcc" "std" "X" -0.948808651206897
"442" "sitting" "train" "tGravityAcc" "std" "X" -0.979064977083981
"443" "standing" "train" "tGravityAcc" "std" "X" -0.988270207540029
"444" "laying" "train" "tGravityAcc" "std" "X" -0.941599380704335
"445" "walking" "test" "tGravityAcc" "std" "Y" -0.967576257318548
"446" "walking_upstairs" "test" "tGravityAcc" "std" "Y" -0.925912647367304
"447" "walking_downstairs" "test" "tGravityAcc" "std" "Y" -0.933501819642857
"448" "sitting" "test" "tGravityAcc" "std" "Y" -0.957728709456212
"449" "standing" "test" "tGravityAcc" "std" "Y" -0.96572940268797
"450" "laying" "test" "tGravityAcc" "std" "Y" -0.979253784934823
"451" "walking" "train" "tGravityAcc" "std" "Y" -0.966631852120718
"452" "walking_upstairs" "train" "tGravityAcc" "std" "Y" -0.925389766076421
"453" "walking_downstairs" "train" "tGravityAcc" "std" "Y" -0.934591624918864
"454" "sitting" "train" "tGravityAcc" "std" "Y" -0.957651371119751
"455" "standing" "train" "tGravityAcc" "std" "Y" -0.970754316870451
"456" "laying" "train" "tGravityAcc" "std" "Y" -0.957061403069012
"457" "walking" "test" "tGravityAcc" "std" "Z" -0.959918772116935
"458" "walking_upstairs" "test" "tGravityAcc" "std" "Z" -0.906976117919321
"459" "walking_downstairs" "test" "tGravityAcc" "std" "Z" -0.919091320238095
"460" "sitting" "test" "tGravityAcc" "std" "Z" -0.947828792947047
"461" "standing" "test" "tGravityAcc" "std" "Z" -0.947266767753759
"462" "laying" "test" "tGravityAcc" "std" "Z" -0.973531121975791
"463" "walking" "train" "tGravityAcc" "std" "Z" -0.952444776696574
"464" "walking_upstairs" "train" "tGravityAcc" "std" "Z" -0.899679890894688
"465" "walking_downstairs" "train" "tGravityAcc" "std" "Z" -0.909636090415821
"466" "sitting" "train" "tGravityAcc" "std" "Z" -0.947177473594868
"467" "standing" "train" "tGravityAcc" "std" "Z" -0.955334333173217
"468" "laying" "train" "tGravityAcc" "std" "Z" -0.943600986262971
"469" "walking" "test" "tBodyAccJerk" "std" "X" -0.230634921260282
"470" "walking_upstairs" "test" "tBodyAccJerk" "std" "X" -0.372285856288747
"471" "walking_downstairs" "test" "tBodyAccJerk" "std" "X" -0.0941815286700238
"472" "sitting" "test" "tBodyAccJerk" "std" "X" -0.983563065824847
"473" "standing" "test" "tBodyAccJerk" "std" "X" -0.975695739736842
"474" "laying" "test" "tBodyAccJerk" "std" "X" -0.980256750707635
"475" "walking" "train" "tBodyAccJerk" "std" "X" -0.282116881167088
"476" "walking_upstairs" "train" "tBodyAccJerk" "std" "X" -0.355849488668406
"477" "walking_downstairs" "train" "tBodyAccJerk" "std" "X" -0.0081975248379716
"478" "sitting" "train" "tBodyAccJerk" "std" "X" -0.985544794618974
"479" "standing" "train" "tBodyAccJerk" "std" "X" -0.981622950225619
"480" "laying" "train" "tBodyAccJerk" "std" "X" -0.980429538464819
"481" "walking" "test" "tBodyAccJerk" "std" "Y" -0.0986195505663911
"482" "walking_upstairs" "test" "tBodyAccJerk" "std" "Y" -0.36356830989087
"483" "walking_downstairs" "test" "tBodyAccJerk" "std" "Y" -0.101380895052357
"484" "sitting" "test" "tBodyAccJerk" "std" "Y" -0.971875152668024
"485" "standing" "test" "tBodyAccJerk" "std" "Y" -0.958496662406015
"486" "laying" "test" "tBodyAccJerk" "std" "Y" -0.972278279683426
"487" "walking" "train" "tBodyAccJerk" "std" "Y" -0.104970427937531
"488" "walking_upstairs" "train" "tBodyAccJerk" "std" "Y" -0.328541506919935
"489" "walking_downstairs" "train" "tBodyAccJerk" "std" "Y" -0.0618724537659239
"490" "sitting" "train" "tBodyAccJerk" "std" "Y" -0.974649826034215
"491" "standing" "train" "tBodyAccJerk" "std" "Y" -0.96660630371179
"492" "laying" "train" "tBodyAccJerk" "std" "Y" -0.970716016723525
"493" "walking" "test" "tBodyAccJerk" "std" "Z" -0.521739457217742
"494" "walking_upstairs" "test" "tBodyAccJerk" "std" "Z" -0.638159602229299
"495" "walking_downstairs" "test" "tBodyAccJerk" "std" "Z" -0.424200745914286
"496" "sitting" "test" "tBodyAccJerk" "std" "Z" -0.981694772077393
"497" "standing" "test" "tBodyAccJerk" "std" "Z" -0.976671984022556
"498" "laying" "test" "tBodyAccJerk" "std" "Z" -0.979848204692737
"499" "walking" "train" "tBodyAccJerk" "std" "Z" -0.461915637480408
"500" "walking_upstairs" "train" "tBodyAccJerk" "std" "Z" -0.622193012661696
"501" "walking_downstairs" "train" "tBodyAccJerk" "std" "Z" -0.373529594680882
"502" "sitting" "train" "tBodyAccJerk" "std" "Z" -0.982526224152411
"503" "standing" "train" "tBodyAccJerk" "std" "Z" -0.980575465705968
"504" "laying" "train" "tBodyAccJerk" "std" "Z" -0.979334766545842
"505" "walking" "test" "tBodyGyro" "std" "X" -0.49123325066129
"506" "walking_upstairs" "test" "tBodyGyro" "std" "X" -0.4816437891862
"507" "walking_downstairs" "test" "tBodyGyro" "std" "X" -0.373429876892857
"508" "sitting" "test" "tBodyGyro" "std" "X" -0.980391992382892
"509" "standing" "test" "tBodyGyro" "std" "X" -0.931444571390977
"510" "laying" "test" "tBodyGyro" "std" "X" -0.974575194841713
"511" "walking" "train" "tBodyGyro" "std" "X" -0.461290098708157
"512" "walking_upstairs" "train" "tBodyGyro" "std" "X" -0.461445663370363
"513" "walking_downstairs" "train" "tBodyGyro" "std" "X" -0.316944038169878
"514" "sitting" "train" "tBodyGyro" "std" "X" -0.981262834082426
"515" "standing" "train" "tBodyGyro" "std" "X" -0.950981475866084
"516" "laying" "train" "tBodyGyro" "std" "X" -0.965341869218906
"517" "walking" "test" "tBodyGyro" "std" "Y" -0.40313354348629
"518" "walking_upstairs" "test" "tBodyGyro" "std" "Y" -0.395856447426093
"519" "walking_downstairs" "test" "tBodyGyro" "std" "Y" -0.418157975061905
"520" "sitting" "test" "tBodyGyro" "std" "Y" -0.967761899022403
"521" "standing" "test" "tBodyGyro" "std" "Y" -0.953936289642857
"522" "laying" "test" "tBodyGyro" "std" "Y" -0.962547564208566
"523" "walking" "train" "tBodyGyro" "std" "Y" -0.325584920802455
"524" "walking_upstairs" "train" "tBodyGyro" "std" "Y" -0.321570850665424
"525" "walking_downstairs" "train" "tBodyGyro" "std" "Y" -0.306181913257404
"526" "sitting" "train" "tBodyGyro" "std" "Y" -0.966305793009331
"527" "standing" "train" "tBodyGyro" "std" "Y" -0.96414183628821
"528" "laying" "train" "tBodyGyro" "std" "Y" -0.963438605707178
"529" "walking" "test" "tBodyGyro" "std" "Z" -0.382048326903226
"530" "walking_upstairs" "test" "tBodyGyro" "std" "Z" -0.234132446747091
"531" "walking_downstairs" "test" "tBodyGyro" "std" "Z" -0.299487958953952
"532" "sitting" "test" "tBodyGyro" "std" "Z" -0.955691205600815
"533" "standing" "test" "tBodyGyro" "std" "Z" -0.949165841541353
"534" "laying" "test" "tBodyGyro" "std" "Z" -0.968943417318436
"535" "walking" "train" "tBodyGyro" "std" "Z" -0.32080957637553
"536" "walking_upstairs" "train" "tBodyGyro" "std" "Z" -0.238455522894334
"537" "walking_downstairs" "train" "tBodyGyro" "std" "Z" -0.26144603615071
"538" "sitting" "train" "tBodyGyro" "std" "Z" -0.958891866041991
"539" "standing" "train" "tBodyGyro" "std" "Z" -0.960106905407569
"540" "laying" "train" "tBodyGyro" "std" "Z" -0.961435198422175
"541" "walking" "test" "tBodyGyroJerk" "std" "X" -0.413270422316532
"542" "walking_upstairs" "test" "tBodyGyroJerk" "std" "X" -0.576962412908705
"543" "walking_downstairs" "test" "tBodyGyroJerk" "std" "X" -0.403089544085476
"544" "sitting" "test" "tBodyGyroJerk" "std" "X" -0.983401234236253
"545" "standing" "test" "tBodyGyroJerk" "std" "X" -0.960413190958647
"546" "laying" "test" "tBodyGyroJerk" "std" "X" -0.977778340986965
"547" "walking" "train" "tBodyGyroJerk" "std" "X" -0.361232566109217
"548" "walking_upstairs" "train" "tBodyGyroJerk" "std" "X" -0.542672583806617
"549" "walking_downstairs" "train" "tBodyGyroJerk" "std" "X" -0.374000213890974
"550" "sitting" "train" "tBodyGyroJerk" "std" "X" -0.98658476348367
"551" "standing" "train" "tBodyGyroJerk" "std" "X" -0.969492009825327
"552" "laying" "train" "tBodyGyroJerk" "std" "X" -0.975493723411514
"553" "walking" "test" "tBodyGyroJerk" "std" "Y" -0.536563346574597
"554" "walking_upstairs" "test" "tBodyGyroJerk" "std" "Y" -0.681691906666667
"555" "walking_downstairs" "test" "tBodyGyroJerk" "std" "Y" -0.515669184902381
"556" "sitting" "test" "tBodyGyroJerk" "std" "Y" -0.986105054114053
"557" "standing" "test" "tBodyGyroJerk" "std" "Y" -0.975663792180451
"558" "laying" "test" "tBodyGyroJerk" "std" "Y" -0.977947653873371
"559" "walking" "train" "tBodyGyroJerk" "std" "Y" -0.502931986096003
"560" "walking_upstairs" "train" "tBodyGyroJerk" "std" "Y" -0.661038928760485
"561" "walking_downstairs" "train" "tBodyGyroJerk" "std" "Y" -0.444762616614097
"562" "sitting" "train" "tBodyGyroJerk" "std" "Y" -0.986654023623639
"563" "standing" "train" "tBodyGyroJerk" "std" "Y" -0.98204418555313
"564" "laying" "train" "tBodyGyroJerk" "std" "Y" -0.981437634278607
"565" "walking" "test" "tBodyGyroJerk" "std" "Z" -0.463647341954839
"566" "walking_upstairs" "test" "tBodyGyroJerk" "std" "Z" -0.554141881365605
"567" "walking_downstairs" "test" "tBodyGyroJerk" "std" "Z" -0.344353104702143
"568" "sitting" "test" "tBodyGyroJerk" "std" "Z" -0.982864892851324
"569" "standing" "test" "tBodyGyroJerk" "std" "Z" -0.972075062631579
"570" "laying" "test" "tBodyGyroJerk" "std" "Z" -0.985304182718808
"571" "walking" "train" "tBodyGyroJerk" "std" "Z" -0.440865118262072
"572" "walking_upstairs" "train" "tBodyGyroJerk" "std" "Z" -0.56399488868932
"573" "walking_downstairs" "train" "tBodyGyroJerk" "std" "Z" -0.318832476117718
"574" "sitting" "train" "tBodyGyroJerk" "std" "Z" -0.984164647052877
"575" "standing" "train" "tBodyGyroJerk" "std" "Z" -0.978999994272198
"576" "laying" "train" "tBodyGyroJerk" "std" "Z" -0.984583429004975
"577" "walking" "test" "tBodyAccMag" "std" "mag" -0.355577474335887
"578" "walking_upstairs" "test" "tBodyAccMag" "std" "mag" -0.282505793501648
"579" "walking_downstairs" "test" "tBodyAccMag" "std" "mag" 0.0504083176412857
"580" "sitting" "test" "tBodyAccMag" "std" "mag" -0.9392153100611
"581" "standing" "test" "tBodyAccMag" "std" "mag" -0.940038000263158
"582" "laying" "test" "tBodyAccMag" "std" "mag" -0.949805818519553
"583" "walking" "train" "tBodyAccMag" "std" "mag" -0.33054317771252
"584" "walking_upstairs" "train" "tBodyAccMag" "std" "mag" -0.235551736910382
"585" "walking_downstairs" "train" "tBodyAccMag" "std" "mag" 0.144636835872059
"586" "sitting" "train" "tBodyAccMag" "std" "mag" -0.939365758525816
"587" "standing" "train" "tBodyAccMag" "std" "mag" -0.949050271871907
"588" "laying" "train" "tBodyAccMag" "std" "mag" -0.925425270312722
"589" "walking" "test" "tGravityAccMag" "std" "mag" -0.355577474335887
"590" "walking_upstairs" "test" "tGravityAccMag" "std" "mag" -0.282505793501648
"591" "walking_downstairs" "test" "tGravityAccMag" "std" "mag" 0.0504083176412857
"592" "sitting" "test" "tGravityAccMag" "std" "mag" -0.9392153100611
"593" "standing" "test" "tGravityAccMag" "std" "mag" -0.940038000263158
"594" "laying" "test" "tGravityAccMag" "std" "mag" -0.949805818519553
"595" "walking" "train" "tGravityAccMag" "std" "mag" -0.33054317771252
"596" "walking_upstairs" "train" "tGravityAccMag" "std" "mag" -0.235551736910382
"597" "walking_downstairs" "train" "tGravityAccMag" "std" "mag" 0.144636835872059
"598" "sitting" "train" "tGravityAccMag" "std" "mag" -0.939365758525816
"599" "standing" "train" "tGravityAccMag" "std" "mag" -0.949050271871907
"600" "laying" "train" "tGravityAccMag" "std" "mag" -0.925425270312722
"601" "walking" "test" "tBodyAccJerkMag" "std" "mag" -0.198067072712843
"602" "walking_upstairs" "test" "tBodyAccJerkMag" "std" "mag" -0.380950968793418
"603" "walking_downstairs" "test" "tBodyAccJerkMag" "std" "mag" -0.0450688652907857
"604" "sitting" "test" "tBodyAccJerkMag" "std" "mag" -0.977510406741344
"605" "standing" "test" "tBodyAccJerkMag" "std" "mag" -0.966123790845865
"606" "laying" "test" "tBodyAccJerkMag" "std" "mag" -0.974610375400372
"607" "walking" "train" "tBodyAccJerkMag" "std" "mag" -0.22122673901031
"608" "walking_upstairs" "train" "tBodyAccJerkMag" "std" "mag" -0.38735343572274
"609" "walking_downstairs" "train" "tBodyAccJerkMag" "std" "mag" 0.00319743123002028
"610" "sitting" "train" "tBodyAccJerkMag" "std" "mag" -0.9794403344479
"611" "standing" "train" "tBodyAccJerkMag" "std" "mag" -0.973516388609898
"612" "laying" "train" "tBodyAccJerkMag" "std" "mag" -0.974099433837953
"613" "walking" "test" "tBodyGyroMag" "std" "mag" -0.436169354776008
"614" "walking_upstairs" "test" "tBodyGyroMag" "std" "mag" -0.41269395604845
"615" "walking_downstairs" "test" "tBodyGyroMag" "std" "mag" -0.308151790967905
"616" "sitting" "test" "tBodyGyroMag" "std" "mag" -0.952093296334012
"617" "standing" "test" "tBodyGyroMag" "std" "mag" -0.91301937112782
"618" "laying" "test" "tBodyGyroMag" "std" "mag" -0.94755611895717
"619" "walking" "train" "tBodyGyroMag" "std" "mag" -0.36096832426354
"620" "walking_upstairs" "train" "tBodyGyroMag" "std" "mag" -0.303978179337558
"621" "walking_downstairs" "train" "tBodyGyroMag" "std" "mag" -0.227265452316329
"622" "sitting" "train" "tBodyGyroMag" "std" "mag" -0.950857575620529
"623" "standing" "train" "tBodyGyroMag" "std" "mag" -0.935924401841339
"624" "laying" "train" "tBodyGyroMag" "std" "mag" -0.937939730744847
"625" "walking" "test" "tBodyGyroJerkMag" "std" "mag" -0.525913731689919
"626" "walking_upstairs" "test" "tBodyGyroJerkMag" "std" "mag" -0.67288561866242
"627" "walking_downstairs" "test" "tBodyGyroJerkMag" "std" "mag" -0.464553224377857
"628" "sitting" "test" "tBodyGyroJerkMag" "std" "mag" -0.983877373299389
"629" "standing" "test" "tBodyGyroJerkMag" "std" "mag" -0.966851556766917
"630" "laying" "test" "tBodyGyroJerkMag" "std" "mag" -0.975261643500931
"631" "walking" "train" "tBodyGyroJerkMag" "std" "mag" -0.487888281890326
"632" "walking_upstairs" "train" "tBodyGyroJerkMag" "std" "mag" -0.664181538692451
"633" "walking_downstairs" "train" "tBodyGyroJerkMag" "std" "mag" -0.430866415856653
"634" "sitting" "train" "tBodyGyroJerkMag" "std" "mag" -0.984886442970451
"635" "standing" "train" "tBodyGyroJerkMag" "std" "mag" -0.976113861921397
"636" "laying" "train" "tBodyGyroJerkMag" "std" "mag" -0.977324912189055
"637" "walking" "test" "fBodyAcc" "std" "X" -0.331205812727218
"638" "walking_upstairs" "test" "fBodyAcc" "std" "X" -0.265071335268684
"639" "walking_downstairs" "test" "fBodyAcc" "std" "X" 0.0282587765922857
"640" "sitting" "test" "fBodyAcc" "std" "X" -0.983935781955193
"641" "standing" "test" "fBodyAcc" "std" "X" -0.984014116334586
"642" "laying" "test" "fBodyAcc" "std" "X" -0.963547345810056
"643" "walking" "train" "fBodyAcc" "std" "X" -0.319449560903263
"644" "walking_upstairs" "train" "fBodyAcc" "std" "X" -0.198615524473914
"645" "walking_downstairs" "train" "fBodyAcc" "std" "X" 0.161841907222363
"646" "sitting" "train" "fBodyAcc" "std" "X" -0.983675290902022
"647" "standing" "train" "fBodyAcc" "std" "X" -0.986574413391557
"648" "laying" "train" "fBodyAcc" "std" "X" -0.957307907502701
"649" "walking" "test" "fBodyAcc" "std" "Y" -0.0866828255034476
"650" "walking_upstairs" "test" "fBodyAcc" "std" "Y" -0.058797927424034
"651" "walking_downstairs" "test" "fBodyAcc" "std" "Y" -0.0548990607438095
"652" "sitting" "test" "fBodyAcc" "std" "Y" -0.928826696148676
"653" "standing" "test" "fBodyAcc" "std" "Y" -0.922115261618421
"654" "laying" "test" "fBodyAcc" "std" "Y" -0.959297968620112
"655" "walking" "train" "fBodyAcc" "std" "Y" -0.0733724623492251
"656" "walking_upstairs" "train" "fBodyAcc" "std" "Y" -0.00557541172054054
"657" "walking_downstairs" "train" "fBodyAcc" "std" "Y" 0.0116440806198682
"658" "sitting" "train" "fBodyAcc" "std" "Y" -0.933948759256143
"659" "standing" "train" "fBodyAcc" "std" "Y" -0.934624538980349
"660" "laying" "train" "fBodyAcc" "std" "Y" -0.936034910177683
"661" "walking" "test" "fBodyAcc" "std" "Z" -0.366538572371935
"662" "walking_upstairs" "test" "fBodyAcc" "std" "Z" -0.239259921773609
"663" "walking_downstairs" "test" "fBodyAcc" "std" "Z" -0.296229623796381
"664" "sitting" "test" "fBodyAcc" "std" "Z" -0.933819490450509
"665" "standing" "test" "fBodyAcc" "std" "Z" -0.928665948665414
"666" "laying" "test" "fBodyAcc" "std" "Z" -0.964355421625698
"667" "walking" "train" "fBodyAcc" "std" "Z" -0.267572362684095
"668" "walking_upstairs" "train" "fBodyAcc" "std" "Z" -0.105928929517437
"669" "walking_downstairs" "train" "fBodyAcc" "std" "Z" -0.224422769657505
"670" "sitting" "train" "fBodyAcc" "std" "Z" -0.934534156082426
"671" "standing" "train" "fBodyAcc" "std" "Z" -0.938062292598253
"672" "laying" "train" "fBodyAcc" "std" "Z" -0.938502036889055
"673" "walking" "test" "fBodyAccJerk" "std" "X" -0.242420560580565
"674" "walking_upstairs" "test" "fBodyAccJerk" "std" "X" -0.400132176654225
"675" "walking_downstairs" "test" "fBodyAccJerk" "std" "X" -0.139219708816221
"676" "sitting" "test" "fBodyAccJerk" "std" "X" -0.984772635397149
"677" "standing" "test" "fBodyAccJerk" "std" "X" -0.977860039473684
"678" "laying" "test" "fBodyAccJerk" "std" "X" -0.982173560986965
"679" "walking" "train" "fBodyAccJerk" "std" "X" -0.306296265538255
"680" "walking_upstairs" "train" "fBodyAccJerk" "std" "X" -0.384103045858528
"681" "walking_downstairs" "train" "fBodyAccJerk" "std" "X" -0.0578981617975233
"682" "sitting" "train" "fBodyAccJerk" "std" "X" -0.986724182511664
"683" "standing" "train" "fBodyAccJerk" "std" "X" -0.983361688056769
"684" "laying" "train" "fBodyAccJerk" "std" "X" -0.98256876949538
"685" "walking" "test" "fBodyAccJerk" "std" "Y" -0.0888750052252419
"686" "walking_upstairs" "test" "fBodyAccJerk" "std" "Y" -0.382397128219958
"687" "walking_downstairs" "test" "fBodyAccJerk" "std" "Y" -0.120492087281667
"688" "sitting" "test" "fBodyAccJerk" "std" "Y" -0.974082505132383
"689" "standing" "test" "fBodyAccJerk" "std" "Y" -0.961841590695489
"690" "laying" "test" "fBodyAccJerk" "std" "Y" -0.973895600260708
"691" "walking" "train" "fBodyAccJerk" "std" "Y" -0.0916769810447162
"692" "walking_upstairs" "train" "fBodyAccJerk" "std" "Y" -0.346762525466654
"693" "walking_downstairs" "train" "fBodyAccJerk" "std" "Y" -0.0790313050466197
"694" "sitting" "train" "fBodyAccJerk" "std" "Y" -0.976387838265941
"695" "standing" "train" "fBodyAccJerk" "std" "Y" -0.968763727401747
"696" "laying" "train" "fBodyAccJerk" "std" "Y" -0.972728982835821
"697" "walking" "test" "fBodyAccJerk" "std" "Z" -0.549313653548387
"698" "walking_upstairs" "test" "fBodyAccJerk" "std" "Z" -0.672740221974522
"699" "walking_downstairs" "test" "fBodyAccJerk" "std" "Z" -0.470596619978571
"700" "sitting" "test" "fBodyAccJerk" "std" "Z" -0.98325268293279
"701" "standing" "test" "fBodyAccJerk" "std" "Z" -0.979166264097744
"702" "laying" "test" "fBodyAccJerk" "std" "Z" -0.980879842532588
"703" "walking" "train" "fBodyAccJerk" "std" "Z" -0.488938910530661
"704" "walking_upstairs" "train" "fBodyAccJerk" "std" "Z" -0.656696754193849
"705" "walking_downstairs" "train" "fBodyAccJerk" "std" "Z" -0.432035778998519
"706" "sitting" "train" "fBodyAccJerk" "std" "Z" -0.983830467869362
"707" "standing" "train" "fBodyAccJerk" "std" "Z" -0.982416433216885
"708" "laying" "train" "fBodyAccJerk" "std" "Z" -0.981007056687989
"709" "walking" "test" "fBodyGyro" "std" "X" -0.533422340395161
"710" "walking_upstairs" "test" "fBodyGyro" "std" "X" -0.508328984061571
"711" "walking_downstairs" "test" "fBodyGyro" "std" "X" -0.414798335411905
"712" "sitting" "test" "fBodyGyro" "std" "X" -0.981948078452138
"713" "standing" "test" "fBodyGyro" "std" "X" -0.933147031785714
"714" "laying" "test" "fBodyGyro" "std" "X" -0.976403305605214
"715" "walking" "train" "fBodyGyro" "std" "X" -0.501130832201272
"716" "walking_upstairs" "train" "fBodyGyro" "std" "X" -0.489514621167474
"717" "walking_downstairs" "train" "fBodyGyro" "std" "X" -0.358229126788915
"718" "sitting" "train" "fBodyGyro" "std" "X" -0.98248034318818
